stars,movies,appearances
Agathe Natanson,['Certified Copy'],1
Agathe Rousselle,['Titane'],1
Agga Olsen,"[""Smilla's Sense of Snow""]",1
Agnes Brekke,['Memoria'],1
Agnes Bruckner,"['The Woods', 'Blood and Chocolate', 'The Pact']",3
Agnes Kittelsen,['Max Manus: Man of War'],1
Agnes Moorehead,"['Dark Passage', 'All That Heaven Allows', 'Hush...Hush, Sweet Charlotte']",3
Agnese Graziani,['Happy as Lazzaro'],1
Agnieszka Grochowska,['In Darkness'],1
Agniya Kuznetsova,['Cargo 200'],1
Ah-Lei Gua,['The Wedding Banquet'],1
Ahd,['Wadjda'],1
Ahilleas Skevis,['Eternity and a Day'],1
Ahmad Harhash,"['Good Newwz', 'Manikarnika: The Queen of Jhansi']",2
Ahmad Ibn Umar,['Laal Singh Chaddha'],1
Ahmad Khan Mahmoodzada,['The Kite Runner'],1
Ahmaogak Sweeney,['Big Miracle'],1
Ahmed Ahmed Poor,"[""Where Is the Friend's House?""]",1
Ahmed Saddam,['The Book of Sun'],1
Ahmet Kural,"['Çalgi Çengi', 'Dügün Dernek', 'Dügün Dernek 2: Sünnet']",3
Ahmet Mekin,['Selvi Boylum Al Yazmalim'],1
Ahmet Rifat Sungar,['Three Monkeys'],1
Ahmet Ugurlu,['Tabutta Rövasata'],1
Ahn Nae-sang,"['Oasis', 'Poetry']",2
Ahna Capri,['Enter the Dragon'],1
Ahna O'Reilly,['All I See Is You'],1
Ahney Her,['Gran Torino'],1
Ai Kakuma,['Batman Ninja'],1
Ai Kobayashi,['Appleseed'],1
Ai Matsubara,['House'],1
Aicha Abadir,['Pierrot le Fou'],1
Aidan Gillen,"['12 Rounds', 'Blitz', 'Shadow Dancer', 'Calvary', 'Sing Street']",5
Aidan Quinn,"['Desperately Seeking Susan', 'The Mission', 'Stakeout', ""The Handmaid's Tale"", 'Benny & Joon', 'Legends of the Fall', 'Michael Collins', 'In Dreams', 'Wild Child', 'Unknown']",10
Aidan Turner,['The Man Who Killed Hitler and Then the Bigfoot'],1
Aiden Flowers,['Home Sweet Hell'],1
Aiden Longworth,['The 9th Life of Louis Drax'],1
Aileen Quinn,['Annie'],1
Aimee Garcia,['A Lot Like Love'],1
Aimee Lou Wood,['Living'],1
Aimee McKay,['Circle'],1
Aimee Teegarden,['Prom'],1
Aisha Dee,['Look Both Ways'],1
Aishwarya Lekshmi,['Jagame Thandhiram'],1
